"Name","Type","Files","Bytes","SHA256","RemoteContent"
"Dave the Diver","directory","1654","2980584966","","excluded-commercial-game-content"
"MahjongSoul","directory","7760","4891516805","","excluded-commercial-game-content"
"MetalGearSolidVGroundZeroes","directory","197","3172889448","","excluded-commercial-game-content"
"No Man's Sky","directory","131","15181212806","","excluded-commercial-game-content"
"SIFU Deluxe Edition","directory","293","31313000338","","excluded-commercial-game-content"
"Stardew Valley","directory","4246","788817733","","excluded-commercial-game-content"
"Trash can army","directory","190","480071624","","excluded-commercial-game-content"
"Trash can army_test","directory","193","480026259","","excluded-commercial-game-content"
"幻兽帕鲁v0.3.8【优化版免解压】","directory","161","708935885","","excluded-commercial-game-content"
