"Name","Type","Files","Bytes","SHA256","RemoteContent"
"Dave the Diver","directory","1651","2980584966","","excluded-commercial-game-content"
"Dave the Diver.zip","file","1","2515466554","D230FB02D5A9E11CEA58AA3DC012B6EC80CA89EE6D801FA10BC1889726108EE5","excluded-commercial-game-content"
"Escape from Duckov","directory","422","2296273621","","excluded-commercial-game-content"
"Escape.from.Duckov.v1.0.14.7z","file","1","860571451","1445028D41E12655156B54D447AC7EBFD87E80F8D0A0E3E2866422D1924608AC","excluded-commercial-game-content"
"Palworld","directory","159","708914701","","excluded-commercial-game-content"
"Palworld.zip","file","1","407296004","C5EB70E76D2CA1E8D0B6391D3E9CF4DD867ACB9A8B5D48AAEC8CC33FA5E32828","excluded-commercial-game-content"
"Stardew Valley(no mods)","directory","3560","652769704","","excluded-commercial-game-content"
"Stardew Valley(no mods).zip","file","1","462508284","0B91569343699F17719E18CC4329FE5517283B04CD9F4E68E416637D7674450E","excluded-commercial-game-content"
"Winlator游戏列表.pdf","file","1","2326954","A504EED183B6E8ABC35562D59E0480E53D8E1337A1FD376CC82676AFB139E902","archived-separately"
